control,r_samehh
'103751180145','1'
'103751590145','1'
'103755150143','1'
'103755560143','1'
'103790350147','1'
'103809940144','1'
'103818910142','1'
'103828190146','1'
'103828500146','1'
'103848920147','1'
'103873190245','1'
'103880190144','1'
'103910560143','1'
'103926950148','2'
'103929390143','1'
'104005710147','1'
'104089720141','2'
'104129390140','2'
'104169320140','1'
'104194770142','1'
'104220760147','1'
'104248780142','2'
'104258790147','1'
'104261120146','1'
'104261380146','1'
'104261530146','2'
'104267370141','2'
'104357720147','1'
'104357980147','1'
'104358350141','1'
'104389520146','2'
'104459730141','1'
'104482760143','2'
'104494130146','1'
'104494310144','1'
'104497360141','1'
'104512300140','1'
'104517760142','1'
'104579740142','1'
'104583390146','1'
'104589770144','1'
'104638770147','1'
'104670340141','1'
'104670590141','1'
'104711970141','1'
'104730940147','1'
'104733360149','1'
'104733760140','1'
'104809700141','1'
'104818370148','1'
'104846730148','1'
'104926710145','1'
'104934590143','1'
'104963770149','2'
'105029120143','2'
'105045130145','1'
'105045540145','1'
'105129160146','1'
'105129570146','1'
'105150350142','1'
'105150500142','1'
'105169190146','1'
'105169500146','2'
'105194960148','1'
'105196150147','2'
'105196560147','2'
'105248970148','2'
'105261970143','2'
'105267550147','1'
'105319100143','1'
'105319510143','2'
'105358530147','1'
'105383980147','2'
'105389550340','2'
'105389550449','1'
'105389700143','1'
'105389960143','1'
'105434130142','2'
'105434540142','2'
'105459920147','2'
'105482950149','1'
'105493550144','2'
'105493960244','1'
'105494900141','1'
'105497130147','1'
'105497540147','1'
'105502590140','1'
'105515180142','2'
'105515590142','1'
'105517950148','1'
'105548150142','1'
'105548560142','1'
'105558140142','1'
'105558550142','1'
'105577920144','1'
'105583980143','2'
'105638550241','1'
'105641940148','1'
'105670110147','2'
'105670520147','1'
'105687900143','2'
'105711740147','2'
'105733950146','2'
'105751130148','1'
'105751540148','1'
'105755100146','2'
'105755510146','1'
'105818960145','1'
'105828140149','2'
'105828550149','1'
'105828960140','1'
'105929340146','2'
'105934770140','1'
'105934770249','2'
'106045310142','2'
'106129340143','1'
'106194720145','2'
'106196330144','2'
'106248730145','1'
'106261330149','1'
'106267320144','2'
'106319380140','1'
'106383740144','2'
'106389320149','1'
'106447310149','1'
'106447710140','1'
'106459780144','1'
'106482710146','2'
'106494360147','1'
'106494740140','1'
'106497310144','1'
'106512350143','1'
'106577780141','2'
'106579790145','2'
'106589720147','1'
'106670390144','2'
'106670540144','1'
'106687360149','2'
'106711920144','2'
'106751310145','1'
'106755380143','2'
'106828320146','1'
'106929100143','1'
'106934540146','1'
'107037150240','1'
'107129100140','1'
'107196500141','1'
'107248910142','1'
'107261190146','1'
'107261500146','1'
'107433760143','1'
'107494120144','1'
'107494510146','2'
'107494530144','1'
'107497170141','1'
'107497580141','1'
'107517990142','2'
'107579970142','1'
'107670150141','1'
