CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'685512750143',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'685515920248',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'685532500142',1,'3','-6','3','2','-9',5,'1','2','1','1','-9','-9','-9','-9','-9'
'685532910242',1,'3','-6','1','1','-9',8,'-6','2','1','1','-9','-9','-9','-9','-9'
'685532910242',2,'3','-6','1','1','-9',8,'-6','2','1','2','-9','-9','-9','-9','-9'
'685583180346',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'685591070148',1,'2','-6','3','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'685600700140',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'685670950144',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'685687920149',1,'3','-6','1','2','-9',5,'1','2','1','1','-9','-9','-9','-9','-9'
'685778180142',1,'3','-6','3','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'685790720147',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'685795873052',1,'3','-6','1','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'685796390149',1,'4','-6','1','1','-9',-7,'-6','2','-8','1','-9','-9','-9','1','-9'
'685796540149',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'685796790140',1,'3','-6','1','2','-9',5,'1','2','1','1','-9','-9','-9','-9','-9'
'685796790140',2,'2','-6','1','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'685806160245',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'685809920146',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'685850340143',1,'3','-6','2','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'685895370144',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'685897213051',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'685926010147',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'685926010147',2,'3','-6','2','1','-9',5,'-6','2','3','2','-9','-9','-9','-9','-9'
'685926513058',1,'3','-6','-7','1','-9',2,'-6','1','1','1','-9','1','1','-9','-9'
'685926590247',1,'3','-6','1','2','-9',4,'2','2','2','1','-9','-9','-9','-9','-9'
'685944340146',1,'3','-6','3','2','-9',-7,'1','2','1','1','-9','-9','-9','1','-9'
'685944590146',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'685944590146',2,'3','-6','1','1','-9',4,'-6','2','2','2','-9','-9','-9','-9','-9'
'685944590146',3,'3','-6','1','1','-9',4,'-6','2','2','3','-9','-9','-9','-9','-9'
'685963320140',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'686029320146',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686029650146',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'686051900147',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'686052540146',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'686103790140',1,'3','-6','1','2','-9',3,'2','2','1','1','-9','-9','-9','-9','-9'
'686129100149',1,'3','-6','1','1','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'686168340143',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686169210149',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'686169460140',1,'3','-6','3','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'686169870140',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686174710144',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'686196550146',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'686196550146',2,'3','-6','1','1','-9',1,'-6','1','1','2','-9','-9','-9','-9','1'
'686202530149',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'686204100149',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'686204760140',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686226900140',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'686229280142',1,'3','-6','2','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'686243730141',1,'4','-6','-7','-7','-9',-7,'-6','1','1','1','-9','1','1','-9','-9'
'686250920144',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686257700143',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'686269590140',1,'3','-6','2','2','-9',3,'2','2','1','1','-9','-9','-9','-9','-9'
'686294590143',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'686302140146',1,'3','-6','3','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'686303120142',1,'3','-6','-7','2','-9',4,'1','2','1','1','-9','-9','-9','-9','-9'
'686319140146',1,'3','-6','1','2','-9',5,'2','1','1','1','-9','-9','-9','-9','-9'
'686319140146',2,'3','-6','1','2','-9',3,'1','2','2','2','-9','-9','-9','-9','-9'
'686319300146',1,'3','-6','3','1','-9',2,'-6','2','3','1','-9','-9','-9','-9','-9'
'686319550146',1,'3','-6','1','1','-9',5,'-6','2','3','1','-9','-9','-9','-9','-9'
'686321190140',1,'3','-6','3','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'686349550142',1,'3','-6','3','2','-9',-7,'1','2','2','1','-9','-9','-9','-9','-9'
'686357133057',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'686357393057',1,'3','-6','1','2','-9',2,'1','2','2','1','-9','-9','-9','-9','-9'
'686357393057',2,'3','-6','1','2','-9',3,'1','1','1','2','-9','-9','-9','-9','-9'
'686358720141',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'686375740144',1,'3','-6','1','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'686389740146',1,'3','-6','2','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'686389900146',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'686410250140',1,'3','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'686423130142',1,'3','-6','3','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'686430760141',1,'3','-6','3','2','-9',2,'2','3','1','1','-9','-9','-9','-9','-9'
'686468310140',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'686468310140',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'686468310140',3,'-6','-6','-6','-6','1',-6,'-6','-6','-6','3','-9','-9','-9','1','-9'
'686468560140',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'686477710149',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686489483056',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'686494430146',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'686530540145',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'686548190145',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'686548350145',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'686550100145',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'686550843058',1,'3','-6','3','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'686553590146',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'686574730143',1,'4','-6','3','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'686577960147',1,'3','-6','3','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'686583920146',1,'3','-6','3','2','-9',3,'2','2','1','1','-9','-9','-9','-9','-9'
'686591090145',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'686618780147',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'686618940147',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686656930142',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686657950142',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686730350244',1,'3','-6','1','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'686730950142',1,'3','-6','3','2','-9',6,'1','2','2','1','-9','-9','-9','-9','-9'
'686755550149',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686757970147',1,'3','-6','3','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'686763370140',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686775310245',1,'2','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'686796310146',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'686809780143',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'686839570143',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'686846140245',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686850360140',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'686850510140',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'686910220149',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'686910630149',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'686922720146',1,'3','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'686932310148',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'686939190142',1,'3','-6','3','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
