CONTROL,OWNHERE,JWNHER
'173273730247','2','-9'
'173281730148','2','-9'
'173288200244','2','-9'
'173319780149','1','-9'
'173319940149','2','-9'
'173494283057','1','-9'
'173500410142','1','-9'
'173502033056','-6','-9'
'173502760146','2','-9'
'173502920146','2','-9'
'173550740148','-6','-9'
'173579130142','1','-9'
'173583263059','-6','-9'
'173583413050','-6','-9'
'173822670141','-6','-9'
'173926360145','1','-9'
'173926510145','2','-9'
'173926843058','-6','-9'
'174037083050','1','-9'
'174037083159','1','-9'
'174037150149','-6','-9'
'174037560149','2','-9'
'174037710140','2','-9'
'174037970140','-6','-9'
'174258100144','-6','-9'
'174258433057','-6','-9'
'174258843057','-6','-9'
'174273190144','2','2'
'174273350144','2','-9'
'174273500144','2','-9'
'174281750145','2','-9'
'174319700146','2','-9'
'174494613054','1','-9'
'174500690148','2','-9'
'174502780143','2','-9'
'174502940143','2','-9'
'174583693056','-6','-9'
'174670233051','-6','-9'
'174846140145','2','-9'
'174846700245','-6','-9'
'174926453055','-6','-9'
'174926863055','2','-9'
'174954430149','2','-9'
'175037413256','1','-9'
'175037740146','2','-9'
'175150573052','2','-9'
'175238120140','2','-9'
'175258790141','-6','-9'
'175273780141','1','-9'
'175273940141','2','-9'
'175336240249','1','-9'
'175336983053','-6','-9'
'175357720141','-6','-9'
'175357800141','-6','-9'
'175383130144','-6','-9'
'175383390144','2','-9'
'175383540144','-6','-9'
'175494893051','1','2'
'175500460145','2','-9'
'175500870145','2','-9'
'175502233050','2','-9'
'175502643050','2','-9'
'175502710149','1','-9'
'175502970149','2','2'
'175550213052','-6','-9'
'175577580141','1','-9'
'175579180145','-6','-9'
'175579340145','1','-9'
'175579413058','1','-9'
'175583130140','-6','-9'
'175670413157','2','-9'
'175670673057','-6','-9'
'175778790145','1','-9'
'175778950145','1','-9'
'175822210144','1','-9'
'175846990142','-6','-9'
'175926150148','2','2'
'175926310148','2','-9'
'175926560148','2','-9'
'176037920143','-6','-9'
'176150740148','1','-9'
'176150900148','2','-9'
'176281700148','1','-9'
'176319750149','1','2'
'176336010146','1','-9'
'176336673059','2','-9'
'176357340147','2','-9'
'176357590147','2','-9'
'176383310141','2','-9'
'176384320240','-6','-9'
'176384320349','2','-9'
'176384653053','2','-9'
'176494253057','2','-9'
'176494663057','-6','-9'
'176500230448','1','2'
'176500480142','2','-9'
'176822640141','1','-9'
'176846190148','-6','-9'
'176926170145','1','-9'
'176926330145','-6','-9'
'176926403058','2','-9'
'176926580145','-6','-9'
'176954230349','1','2'
'177015130241','2','-9'
'177015130647','2','-9'
'177037053050','1','-9'
'177053690143','2','-9'
'177053920243','2','-9'
'177053920540','2','-9'
'177129730149','-6','-9'
'177200130142','2','-9'
'177200130548','2','-9'
'177200540142','-6','-9'
'177273320144','2','-9'
'177281720145','1','2'
'177281980145','2','-9'
