control,ownhere,JWNHER
'174502780143','2','-9'
'174579710348','2','-9'
'174846140145','2','-9'
'174926530142','-6','-9'
'174954430149','2','-9'
'175037740146','2','-9'
'175238120140','2','-9'
'175273940141','2','-9'
'175336240249','1','-9'
'175357490141','2','2'
'175357800141','2','-9'
'175383390144','2','-9'
'175500060242','1','-9'
'175500460145','2','-9'
'175500870145','2','-9'
'175502710149','1','-9'
'175502970149','1','-9'
'175577580141','1','-9'
'175579340145','1','-9'
'175583130140','-6','-9'
'175583390140','-6','-9'
'175778790145','1','-9'
'175778950145','1','-9'
'175822210144','1','-9'
'175846990142','-6','-9'
'175926150148','1','-9'
'175926310148','2','-9'
'176150740148','1','-9'
'176319750149','1','2'
'176336010146','2','-9'
'176384320240','-6','-9'
'176384320349','2','-9'
'176452820143','2','-9'
'176500230448','1','-9'
'176500480142','2','-9'
'176500890142','2','-9'
'176502730146','1','-9'
'176778710142','1','-9'
'176822640141','1','-9'
'176846190148','1','2'
'176846500148','2','-9'
'176926170145','1','-9'
'176926580145','-6','-9'
'176954230349','1','-9'
'177015130241','2','-9'
'177015130647','2','-9'
'177037530149','-6','-9'
'177053690143','1','-9'
'177053920243','2','-9'
'177053920540','2','-9'
'177129730149','1','-9'
'177200130142','2','-9'
'177200130548','2','-9'
'177200540142','-6','-9'
'177273320144','2','-9'
'177281720145','1','-9'
'177281980145','2','-9'
'177319770146','1','-9'
'177357100144','2','-9'
'177357280144','2','-9'
'177357510144','1','-9'
'177379920144','2','-9'
'177379920441','2','-9'
'177452360149','2','-9'
'177452760140','1','-9'
'177482300140','-6','-9'
'177493480147','1','-9'
'177493890147','2','-9'
'177558970145','2','-9'
'177778170148','1','-9'
'177778330148','-6','-9'
'177788130340','2','-9'
'177788130449','2','-9'
'177822000147','-6','-9'
'177846370145','1','2'
'177846520145','2','-9'
'177873970142','2','-9'
'177903180148','2','-9'
'177926190142','-6','-9'
'177926350142','1','-9'
'177954810149','2','-9'
'177963230146','2','-9'
'177963640146','1','-9'
'177963890246','-6','-9'
'177987920342','2','-9'
'178005520141','2','-9'
'178053120140','2','-9'
'178053380140','2','-9'
'178129750146','2','-9'
'178141920142','2','-9'
'178185940147','1','-9'
'178206580146','2','-9'
'178281740142','2','-9'
'178319950143','2','-9'
'178357120141','1','-9'
'178358890147','-6','-9'
'178379860141','2','-9'
'178452200146','-6','-9'
'178452610146','2','-9'
'178482570246','-6','-9'
'178500680145','2','-9'
'178515930142','2','-9'
'178558730142','2','2'
'178638250141','-6','-9'
'178751980148','2','-9'
'178778190145','1','-9'
'178778350145','2','-9'
'178788310149','1','-9'
'178788560149','2','-9'
'178788970140','2','-9'
'178822020144','1','-9'
'178846130142','-6','-9'
'178880730147','1','-9'
'178880990147','2','-9'
'178903510145','2','2'
'178941230146','1','-9'
'178941640146','1','-9'
'178954420146','2','-9'
'179015990147','2','-9'
'179045740142','-6','-9'
'179086180144','2','-9'
'179086340144','2','2'
'179185700144','1','-9'
'179196760144','2','-9'
'179196920144','-6','-9'
'179206350143','1','-9'
'179238920149','2','-9'
'179269350143','-6','-9'
'179281360148','2','-9'
'179281510148','-6','-9'
'179319560149','1','-9'
'179321360143','2','-9'
