control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'195583030133','2','-9','-9','-9','-9','-9','-9','-9'
'195659020147','2','-9','-9','-9','-9','-9','-9','-9'
'195710930133','2','-9','-9','-9','-9','-9','-9','-9'
'196206630133','2','-9','-9','-9','-9','-9','-9','-9'
'196206830133','2','-9','-9','-9','-9','-9','-9','-9'
'196404730133','2','-9','-9','-9','-9','-9','-9','-9'
'196502830133','2','-9','-9','-9','-9','-9','-9','-9'
'197273330133','2','-9','-9','-9','-9','-9','-9','-9'
'197502730133','2','-9','1','-9','-9','-9','1','-9'
'197710530133','2','-9','-9','-9','-9','-9','-9','-9'
'198053230133','2','-9','-9','-9','-9','-9','-9','-9'
'198404330133','2','-9','-9','-9','-9','-9','-9','-9'
'198404530133','2','-9','-9','-9','-9','-9','-9','-9'
'198596430133','2','-9','-9','-9','-9','-9','-9','-9'
'198747930133','1','1','-9','-9','-9','-9','-9','-9'
'199046960543','2','-9','-9','-9','-9','-9','-9','-9'
'199046960840','2','-9','-9','-9','-9','-9','-9','-9'
'199052900342','2','1','1','1','-9','-9','-9','-9'
'199136980148','2','-9','-9','-9','-9','-9','-9','-9'
'199168770145','2','-9','-9','-9','-9','1','-9','-9'
'199169830123','2','-9','-9','-9','-9','-9','-9','-9'
'199193845383','2','-9','-9','-9','-9','-9','-9','-9'
'199224750642','2','-9','-9','-9','-9','-9','-9','-9'
'199246810245','2','-9','-9','-9','-9','-9','-9','-9'
'199247830447','2','-9','-9','-9','-9','-9','-9','-9'
'199253830123','2','-9','-9','-9','-9','-9','-9','-9'
'199270840248','2','-9','-9','-9','-9','-9','-9','-9'
'199285850546','2','-9','-9','-9','-9','-9','-9','-9'
'199298920340','2','-9','1','-9','-9','-9','-9','-9'
'199335860145','2','-9','-9','-9','-9','-9','-9','-9'
'199335860442','2','-9','-9','-9','-9','-9','-9','-9'
'199381830348','2','-9','-9','-9','-9','-9','-9','-9'
'199388950142','2','-9','-9','-9','-9','-9','-9','-9'
'199393930113','2','-9','-9','-9','-9','-9','-9','-9'
'199518770244','2','-9','-9','-9','-9','-9','-9','-9'
'199529831143','2','-9','-9','-9','-9','-9','-9','-9'
'199530960149','2','-9','-9','-9','-9','-9','-9','-9'
'199551960642','2','-9','-9','-9','-9','-9','1','-9'
'199571990243','2','-9','-9','-9','-9','-9','-9','-9'
'199583130133','2','-9','-9','-9','-9','-9','-9','-9'
'199607850249','2','-9','-9','-9','-9','-9','-9','-9'
'199623930113','2','-9','-9','-9','-9','-9','-9','-9'
'199625910145','2','-9','-9','-9','-9','-9','-9','-9'
'199637730446','2','-9','-9','-9','-9','-9','-9','-9'
'199645870347','2','-9','-9','-9','-9','-9','-9','-9'
'199659950448','2','-9','-9','-9','-9','-9','-9','1'
'199662930113','2','1','1','-9','-9','-9','1','1'
'199700840643','2','-9','-9','-9','-9','-9','-9','-9'
'199724960344','1','-9','-9','-9','-9','-9','-9','-9'
'199727850148','2','-9','-9','-9','-9','-9','-9','-9'
'199757740441','2','-9','-9','-9','-9','-9','-9','1'
'199768800145','2','1','-9','-9','-9','-9','-9','-9'
'199788930123','2','-9','-9','-9','-9','-9','-9','-9'
'199802960741','2','-9','-9','-9','-9','-9','-9','-9'
'199819608884','2','-9','-9','-9','-9','-9','-9','-9'
'199853970344','2','-9','-9','-9','-9','-9','-9','-9'
'199872900444','2','-9','-9','-9','-9','-9','-9','-9'
'199894830541','2','-9','-9','-9','-9','-9','-9','-9'
'199951829184','2','-9','-9','-9','-9','-9','-9','1'
'199953830113','2','-9','-9','-9','-9','-9','-9','-9'
'199961970540','2','-9','-9','-9','-9','-9','-9','-9'
'199973920341','2','-9','-9','-9','-9','-9','-9','-9'
'199977910145','2','-9','-9','-9','-9','-9','-9','-9'
'200028160140','1','-9','-9','-9','-9','-9','-9','-9'
'200086110144','2','-9','-9','-9','-9','-9','-9','-9'
'200114150145','2','-9','-9','-9','-9','-9','-9','-9'
