control,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,jovgrp,jxten,jxunit,jxper,jxhead
'100575170140','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100575170140','-9',2,'3','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'100580130103','-9',5,'3','-6','1','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'100580230103','-9',3,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100583730133','-9',2,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100586130103','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100591130103','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100596350146','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100596630103','-9',2,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100602350144','-9',2,'3','-6','2','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'100604130103','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100607430103','-9',5,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100607530103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100611710144','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100616130103','-9',1,'2','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100619130103','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100622230103','-9',5,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100623330103','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100623430103','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100623630103','-9',4,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'100633120146','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100633530103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100635430103','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100635530103','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100635550140','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100635630103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100645150144','-9',5,'3','-6','1','2','2','3','2',1,'1','-9','-9','-9','-9','-9'
'100650130103','-9',2,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'100650130103','-9',3,'3','-6','1','2','2','1','1',2,'2','-9','-9','-9','-9','-9'
'100650300147','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100650530146','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100650550147','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100650580145','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100653370146','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100661130103','-9',3,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100664130103','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'100664230103','-9',2,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'100664730146','-9',3,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'100664730146','-9',3,'3','-6','3','1','-6','2','1',2,'2','-9','-9','-9','-9','-9'
'100664990146','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100669230103','-9',-8,'-8','-6','-8','-8','-6','3','-8',1,'1','-9','1','-9','-9','-9'
'100669720149','-9',1,'-9','-6','-9','1','-6','2','-9',-9,'1','1','1','-9','1','1'
'100671180142','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100679140145','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100681170142','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100687130103','-9',4,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'100687630103','-9',3,'2','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100691130103','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100691130103','-9',2,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'100693510148','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100707130133','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100707230103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100710330103','-9',3,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100713130103','-9',5,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'100717920148','-9',2,'3','-6','1','-9','-6','2','2',1,'1','-9','-9','-9','1','-9'
'100726190142','-9',2,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100727230103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100733230103','-9',2,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'100733430103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100733530103','-9',6,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100736230103','-9',2,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100743390145','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100749330103','-9',1,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100752130103','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100755530103','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100755630103','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100763130103','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100763330103','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100763430103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100767560149','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100767560149','1',-6,'-6','-6','-6','-6','-6','-6','-6',2,'2','-9','-9','-9','1','1'
'100772900142','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100777170143','-9',4,'4','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100777330103','-9',3,'3','-6','4','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'100783130103','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100783510146','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100783510146','-9',1,'3','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'100792930147','-9',5,'3','-6','2','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'100793330149','-9',-8,'-8','-6','-8','-8','-6','2','-8',1,'1','-9','1','-9','-9','-9'
'100795170144','-9',6,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100796360149','-9',3,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100799150149','-9',4,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'100800130103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100800130103','-9',2,'3','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'100800230103','-9',6,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100800230103','-9',6,'3','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'100800430103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100802130103','-9',5,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100805130103','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100805230103','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100805530146','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100809190142','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100814130103','-9',2,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'100828230103','-9',3,'3','-6','3','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'100828530103','-9',2,'2','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100828730103','-9',2,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'100829130103','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100829230103','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100837130140','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100839830103','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100849380143','-9',1,'4','-6','4','1','-6','2','-8',1,'1','-9','-9','-9','-9','1'
'100850130103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100850230203','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100850230303','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100850230403','-9',2,'3','-6','1','2','2','1','2',1,'1','-9','-9','-9','-9','-9'
'100850560143','-9',-7,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100853130103','-9',3,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100853230103','-9',7,'4','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100853330103','-9',6,'3','-6','4','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100859130103','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100868130103','-9',4,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100868130103','-9',1,'3','-6','3','1','-6','1','1',2,'2','-9','-9','-9','-9','1'
'100871160148','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
